0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
660,108,56,66,37,142,203,56,91,246,115,35,31,272,173,97,8,204,67,505,77,53,412,11,12,21,79,468,56,145,18,49,102,182,14,69,86,24,43,19,16,108,365,33,263,125,18,231,43,142,212
670,344,217,337,608,7708,810,350,900,55,149,2909,643,352,1960,174,1653,635,982,1038,1613,372,5962,577,3668,3560,320,128,189,323,1221,130,2015,882,195,2004,78,146,828,1600,1757,756,812,1031,4418,402,635,763,757,588,1046
680,90,96,222,22,76,162,75,258,62,12,42,111,69,494,26,75,62,90,293,196,233,24,98,1,318,24,8,194,443,31,168,398,396,96,150,29,38,73,184,13,10,176,144,57,18,435,89,54,94,149
690,55,136,90,45,163,71,80,464,28,26,136,54,96,39,108,150,162,37,13,252,28,71,45,199,1,323,65,20,29,269,50,123,53,85,661,65,20,218,88,77,248,104,190,37,101,33,307,21,308,1
700,227,23,7,328,217,30,135,151,63,37,5,9,187,81,106,41,115,17,180,26,132,23,105,43,68,82,303,38,11,87,47,87,151,108,78,14,7,7,42,50,18,498,286,61,87,8,50,189,110,54
710,226,859,105,102,1451,1388,966,201,1238,269,85,225,2840,353,829,1656,1474,374,626,84,1581,2327,360,848,1079,56,77,350,609,616,1096,186,217,113,956,986,163,145,207,73,434,173,482,309,1233,241,1582,117,299,370
720,106,114,902,816,670,967,511,1641,256,1262,133,354,833,401,1269,248,369,71,86,20,512,566,679,1030,114,2194,114,274,455,642,763,1328,430,473,1774,174,167,777,366,300,787,253,219,591,50,958,36,981,103,383
730,76,496,1302,740,618,1587,1864,892,672,6155,2116,62,525,1420,413,2801,124,120,25,766,1579,617,378,105,1680,232,2244,409,1304,2604,230,211,1067,63,1186,152,898,905,729,192,2410,984,1974,831,1159,2082,668,76,72,863
740,765,145,518,277,642,875,538,176,1164,214,3204,3170,125,92,743,1731,325,2036,108,255,599,412,60,1174,1835,246,219,70,1467,292,857,1065,23,2150,334,73,4703,776,598,239,149,1591,65,1538,426,1475,506,641,214,374
750,165,472,1618,293,814,487,471,3386,1167,337,1251,787,1677,183,2448,1291,187,1725,1622,616,536,581,2799,116,202,5553,2025,159,140,332,1192,580,221,392,309,170,618,1863,681,222,3757,40,148,1045,807,126,1536,326,452,3225
760,829,2329,1366,2722,5874,212,286,452,89,891,816,1199,639,49,848,382,2325,363,1459,1175,644,899,640,3054,126,1009,733,3504,498,389,1060,64,3321,332,271,267,842,182,2581,1017,1424,379,2987,381,51,561,283,952,108,208
770,1046,1473,193,401,938,216,740,142,1717,2218,538,588,2239,48,816,81,606,221,566,285,1301,1513,924,3926,389,957,4254,1962,1713,205,300,1707,142,2727,140,949,843,612,2166,562,887,1263,1394,968,1181,122,468,239,1694,177
780,130,301,1533,539,75,495,1929,263,188,979,169,1564,1017,1927,108,1308,89,2586,1084,904,2489,1883,374,510,1650,2797,1195,2266,1510,61,1140,1711,853,132,351,164,1530,1397,640,88,1595,366,5195,260,491,226,29,318,2393,109
790,159,407,625,243,249,932,222,862,197,1064,280,189,357,197,457,1526,778,627,31,944,2354,24,723,631,842,1474,1025,1150,524,38,1052,379,1297,386,57,84,214,1386,365,1551,1554,1130,499,131,494,1162,1648,126,238,744
800,1797,805,290,159,758,374,210,140,418,214,436,266,1151,195,912,94,380,278,341,164,1100,1395,440,816,1280,1292,1644,1943,245,1348,532,48,486,379,331,2538,36,119,176,134,278,486,80,34,129,416,1211,964,223,890
810,6516,59,257,411,201,854,1497,1232,795,1574,630,836,890,727,1004,638,778,3845,350,337,604,634,204,162,91,1176,338,1372,1886,1700,1237,587,142,880,293,227,172,728,430,732,142,230,588,217,838,1059,2848,408,3839,1486
820,489,1216,132,274,205,1872,476,651,337,793,1049,243,595,2254,1691,509,2665,483,425,1777,1044,352,587,1160,3091,835,1186,1600,1192,48,855,1929,135,285,556,5393,624,133,3810,2380,115,1766,395,741,539,292,492,83,266,475
830,1267,193,429,88,14,417,487,734,252,454,394,425,2017,71,22,249,149,8095,851,1339,1035,377,678,586,273,1951,1470,470,819,480,158,439,604,27,326,262,474,410,470,540,42,140,2090,178,338,2308,1063,545,856,254
